sample_id,reason
E078,no_decodable_dicom
E115,no_decodable_dicom
E172,no_decodable_dicom
E279,no_decodable_dicom
E287,no_decodable_dicom
E315,no_decodable_dicom
E351,no_decodable_dicom
E361,no_decodable_dicom
E370,no_decodable_dicom
E403,no_decodable_dicom
E496,no_decodable_dicom
E497,no_decodable_dicom
E538,no_decodable_dicom
E563,no_decodable_dicom
E606,no_decodable_dicom
E648,no_decodable_dicom
E690,no_decodable_dicom
E696,no_decodable_dicom
E760,no_decodable_dicom
E867,no_decodable_dicom
E906,no_decodable_dicom
E918,no_decodable_dicom
E928,no_decodable_dicom
E953,no_decodable_dicom
E985,no_decodable_dicom
